#-----------------------------------------------------------
# xsim v2020.2 (64-bit)
# SW Build 3064766 on Wed Nov 18 09:12:45 MST 2020
# IP Build 3064653 on Wed Nov 18 14:17:31 MST 2020
# Start of session at: Wed May 22 22:46:35 2024
# Process ID: 10104
# Current directory: C:/Users/atomi/GitHub/hw-viv/div_archive
# Command line: xsim.exe -mode tcl -source {xsim.dir/div_tb_snapshot_p2/xsim_script.tcl}
# Log file: C:/Users/atomi/GitHub/hw-viv/div_archive/xsim.log
# Journal file: C:/Users/atomi/GitHub/hw-viv/div_archive\xsim.jou
#-----------------------------------------------------------
source xsim.dir/div_tb_snapshot_p2/xsim_script.tcl
# xsim {div_tb_snapshot_p2} -autoloadwcfg -runall
Vivado Simulator 2020.2
Time resolution is 1 ps
run -all
start of checking module div32p2
r       85737724711143     280077     205251                38991
q      328439053914683     205725 2129644058           1596495583
r      328439053914683     205725      98318               102008
q      329727177649440     196534  745162642           1677710613
r      329727177649440     196534     176180                34098
q       99258483451727      81179 3647486915           1222711334
r       99258483451727      81179      80751                68941
q       69531265413953      19377 2926260940           3588340063
r       69531265413953      19377       7412                13202
q       34598084829256      12670   39322510           2730709142
r       34598084829256      12670       4636                  116
q        8955991041888       4968 4149726856           1802735716
r        8955991041888       4968        192                 4800
q        3958170163570       2560  620756992           1546160220
r        3958170163570       2560          0                  370
q        3316716030135       1257 2941898839           2638596682
r        3316716030135       1257       1233                  861
q         258856067665         73 2824088085           3545973529
r         258856067665         73          3                   48
q         359099583886        122  774502299           2943439212
r         359099583886        122         34                   22
q         276001881520        180  954437176           1533343786
r         276001881520        180        160                   40
q         204959748863        159 1269581527           1289055024
r         204959748863        159        119                   47
q  1870409226989876443 1570910027 1335089591           1190653312
r  1870409226989876443 1570910027 1239981667            488317019
q  1772143738709212343  529577745 2861348163           3346333480
r  1772143738709212343  529577745   73732493            352809743
q   977558717040505674  383389160 4142943044           2549781837
r   977558717040505674  383389160  310466144            369818754
q   334974607136389861  115509826 1046792415           2899966338
r   334974607136389861  115509826  115212418             28152673
q   107295001276522774   35050758 3335854077           3061132123
r   107295001276522774   35050758    5107474             27223540
q     1524868103611277    3968848 2244226378            384209247
r     1524868103611277    3968848     885472              2073821
q    61623709942125897   14978974  622777647           4114014080
r    61623709942125897   14978974     470014              2171977
q    10230575628725030    2591472 3323772135           3947785516
r    10230575628725030    2591472     614768              2005478
q    19112377813852634    5675017 2146496376           3367809790
r    19112377813852634    5675017     545992              2836204
q     2948104236166321     950762 2948742994           3100780464
r     2948104236166321     950762     904460               652753
q      695549475112592     493386 2839320315           1409747084
r      695549475112592     493386      65138               326168
q      744225969770638     485931 3038997101           1531546597
r      744225969770638     485931      64945               343831
q      280754142309943     246565  541963853           1138661782
r      280754142309943     246565      65503                31113
q      458017247065302     184095 3361223978           2487939634
r      458017247065302     184095      39402               144072
q      131771608747921      41134 1530605474           3203471793
r      131771608747921      41134      24548                14659
q       66943292760129      31555  843749081           2121479726
r       66943292760129      31555      16949                 6199
q       19470811992985      14153 1415673174           1375737440
r       19470811992985      14153       4218                 4665
q       17811468628009       6560 2624774983           2715162900
r       17811468628009       6560       1184                 4009
q        9556403406463       2870 2069665425           3329757284
r        9556403406463       2870        618                 1383
q        3008508216531       1032  212251290           2915221140
r        3008508216531       1032        816                   51
q         564161945594        630 3163277500            895495151
r         564161945594        630        344                  464
q        1342760920967        339 2229835528           3960946669
r        1342760920967        339        104                  176
q          44100500410        155 2078209981            284519357
r          44100500410        155        145                   75
q         161714335789         40 3113851289           4042858394
r         161714335789         40         24                   29
q   610330406315259145  631984542  127863399            965736289
r   610330406315259145  631984542  599784814             18814507
q    63247574013350095   66828221  378674075            946420136
r    63247574013350095   66828221   40685969              5892039
q   225131109770823760  115046884  648086717           1956864036
r   225131109770823760  115046884   28013228             17359936
q   522398981815499656  149840962 2825648926           3486356299
r   522398981815499656  149840962    2984516             98580018
q    63448372724765182   57079463 1850081641           1111579706
r    63448372724765182   57079463    2371201             24587304
q    12657433129748331    8034677  771324814           1575350587
r    12657433129748331    8034677    7776794              1442932
q     4379334881364988   10064817 3487734745            435113214
r     4379334881364988   10064817    2335735              8173150
q      372530319217852    4366314 2178092188             85319177
r      372530319217852    4366314     628072              2214274
q     4345055265075832    4721593  514884710            920251971
r     4345055265075832    4721593    1044554               566029
q     6652484181519746    1770255 1765731826           3757924243
r     6652484181519746    1770255      14546               727781
q     2365217589035362     830610 2806804382           2847566955
r     2365217589035362     830610     143332               542812
q     1036935473168406     430068 3822256045           2411096554
r     1036935473168406     430068     306204               382734
q       39153508184329      44053 2407065297            888781880
r       39153508184329      44053      42203                24689
q      162780726992952     188130  296832853            865256615
r      162780726992952     188130     147702                13002
q        7002696933982       9346 4080816348            749272087
r        7002696933982       9346         72                 8880
q      123907459607028      46387 2602053720           2671167775
r      123907459607028      46387       9848                28103
q       18902360401020      17998 2547198628           1050247827
r       18902360401020      17998      10760                10674
q       27686912103258       8055 3376788067           3437233035
r       27686912103258       8055       5883                 6333
q        8442813494947       3647 1276595708           2315002329
r        8442813494947       3647       1788                 1084
q        4017244634977       2023   29722957           1985785781
r        4017244634977       2023        133                   14
q         779445800396        728 1014745020           1070667308
r         779445800396        728        352                  172
q         144361473090        103 3877980179           1401567699
r         144361473090        103         91                   93
q          28733115575        224 1668134619            128272837
r          28733115575        224         96                   87
q         138564799399        106 2876817717           1307215088
r         138564799399        106         14                   71
q   177773073768666221   63498483 2865529951           2799642847
r   177773073768666221   63498483   11551187             42365120
q    29327465713933740  235706279 3974842737            124423777
r    29327465713933740  235706279  182808649            218137957
q   997574760958682820  258583880 1652428078           3857838164
r   997574760958682820  258583880   63321360             99486500
q   114059209113779585   46046187 2267948615           2477060893
r   114059209113779585   46046187   12836819             24314594
q   123065688597784102   52404962 1615689927           2348359466
r   123065688597784102   52404962    1339986             19713810
q     9476783588863338    5188364 2485394721           1826545629
r     9476783588863338    5188364    3872628              3002382
